PK,Shipment ID,Indicator,Sent to EBS,Utilization,Weight Utilization,Volume Utilization,EBS Trip,Service Provider Name,Destination Location Name,State,Mode,Equipment,Stops,Total Gross Weight,Total Gross Volume,Loaded Distance,Total Actual Cost,Planned Cost,Start Time,Pull Target Time,City,Destination Postal Code,End Time,Source Location ID,Source Location Name,Destination Location ID,Status,Service Provider ID,Total Ship Unit Count,Update User,Last Update Time,Number of Order Releases,Domain Name
CLP.1110283,1110283,G,/images/icons/system/accepted.gif,/images/icons/system/10_percent.gif,0.07,0.01,20630094,CLOPAY TRUCK,"SJ KINSER ,BASTIAN,VA,USA",VA,TRUCK,BOXTRUCK,4,701.89,13.2,307.6,611.2,611.34,2017-10-11 17:04 America/New_York,,BASTIAN,24314-4512,2017-10-11 17:04 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-2465-5597,SECURE RESOURCES_ACCEPTED,CAR-200710,16,CLP.INTEGRATION,2017-10-11 18:56 EST5EDT,5,CLP
CLP.1110091,1110091,G,/images/icons/system/accepted.gif,/images/icons/system/10_percent.gif,0.07,0.01,20627091,CLOPAY TRUCK,"ORIGINAL T,SUMMERFIEL,NC,USA",NC,TRUCK,BOXTRUCK,2,668.71,12.74,15,41.4,41.4,2017-10-09 17:02 America/New_York,,SUMMERFIELD,27358,2017-10-09 17:02 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-40555-279965,SECURE RESOURCES_ACCEPTED,CAR-200710,69,CLP.INTEGRATION,2017-10-09 17:31 EST5EDT,9,CLP
CLP.1110392,1110392,G,/images/icons/system/accepted.gif,/images/icons/system/20_percent.gif,0.2,0.04,20631457,CLOPAY TRUCK,"FIVE STAR ,ASHEBORO,NC,USA",NC,TRUCK,BOXTRUCK,2,2002.73,36.35,32.9,90.8,90.8,2017-10-12 16:36 America/New_York,,ASHEBORO,27205-0994,2017-10-12 16:36 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-1159-4283,SECURE RESOURCES_ACCEPTED,CAR-200710,32,CLP.INTEGRATION,2017-10-12 18:23 EST5EDT,10,CLP
CLP.1101281,1101281,G,/images/icons/system/accepted.gif,/images/icons/system/0_percent.gif,0.01,0,20508304,CLOPAY TRUCK,"DIAMOND DO,JOHNSON CI,TN,USA",TN,TRUCK,BOXTRUCK,2,127.65,1.57,175,483,483,2017-06-21 08:30 America/New_York,,JOHNSON CITY,37601-7622,2017-06-21 08:30 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-976837-151321,SECURE RESOURCES_ACCEPTED,CAR-200710,4,CLP.INTEGRATION,2017-06-21 09:18 EST5EDT,4,CLP
CLP.1101573,1101573,G,/images/icons/system/accepted.gif,/images/icons/system/10_percent.gif,0.09,0.01,,CLOPAY TRUCK,"RUTHERFORD,RUTHERFORD,NC,USA",NC,TRUCK,BOXTRUCK,3,878.47,13.1,152.8,418.41,418.41,2017-06-26 04:15 America/New_York,,RUTHERFORDTON,28139-8022,2017-06-26 09:13 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-7353-7908,SECURE RESOURCES_ACCEPTED,CAR-200710,62,CLP.ADMIN,2017-06-23 16:01 EST5EDT,12,CLP
CLP.1101858,1101858,G,/images/icons/system/accepted.gif,/images/icons/system/20_percent.gif,0.18,0.05,20516030,CLOPAY TRUCK,"FIVE STAR ,ASHEBORO,NC,USA",NC,TRUCK,BOXTRUCK,2,1804.99,54.62,32.9,90.8,90.8,2017-06-28 15:55 America/New_York,,ASHEBORO,27205-0994,2017-06-28 15:55 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-1159-4283,SECURE RESOURCES_ACCEPTED,CAR-200710,38,CLP.INTEGRATION,2017-06-28 16:57 EST5EDT,7,CLP
CLP.1101855,1101855,G,/images/icons/system/accepted.gif,/images/icons/system/20_percent.gif,0.19,0.02,,CLOPAY TRUCK,"MARVIN'S G,EAST BEND,NC,USA",NC,TRUCK,BOXTRUCK,2,1926.62,24.21,53.2,146.84,146.84,2017-06-28 11:29 America/New_York,,EAST BEND,27018-8165,2017-06-28 14:18 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-1440-4651,SECURE RESOURCES_ACCEPTED,CAR-200710,111,CLP.ADMIN,2017-06-28 11:31 EST5EDT,19,CLP
CLP.1100974,1100974,G,/images/icons/system/accepted.gif,/images/icons/system/10_percent.gif,0.06,0.01,,CLOPAY TRUCK,"ORIGINAL T,SUMMERFIEL,NC,USA",NC,TRUCK,BOXTRUCK,2,586.4,10.56,15,41.4,41.4,2017-06-16 13:29 America/New_York,,SUMMERFIELD,27358,2017-06-16 15:23 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-40555-279965,SECURE RESOURCES_ACCEPTED,CAR-200710,89,CLP.ADMIN,2017-06-16 13:31 EST5EDT,12,CLP
CLP.1076745,1076745,G,/images/icons/system/accepted.gif,/images/icons/system/20_percent.gif,0.23,0.04,,CLOPAY TRUCK,"MARVIN'S G,EAST BEND,NC,USA",NC,TRUCK,BOXTRUCK,2,2315.94,44.04,53.2,119.16,119.16,2016-07-21 06:34 America/New_York,,EAST BEND,27018-8165,2016-07-21 08:37 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-1440-4651,SECURE RESOURCES_ACCEPTED,CAR-200710,127,CLP.INTEGRATION,2016-07-21 16:55 EST5EDT,27,CLP
CLP.1101430,1101430,G,/images/icons/system/accepted.gif,/images/icons/system/0_percent.gif,0.01,0,20509976,CLOPAY TRUCK,"FIVE STAR ,ASHEBORO,NC,USA",NC,TRUCK,BOXTRUCK,3,147.42,0,167.5,276.55,284.42,2017-06-22 11:57 America/New_York,,ASHEBORO,27205-0994,2017-06-22 11:57 America/New_York,ORG-1790-45525,BPC - GREENSBORO DC,CUS-1159-4283,SECURE RESOURCES_ACCEPTED,CAR-200710,61,CLP.INTEGRATION,2017-06-22 13:51 EST5EDT,13,CLP
