PK,Shipment ID,Indicator,Sent to EBS,Utilization,Weight Utilization,Volume Utilization,EBS Trip,Service Provider Name,Destination Location Name,State,Mode,Equipment,Stops,Total Gross Weight,Total Gross Volume,Loaded Distance,Total Actual Cost,Planned Cost,Start Time,Pull Target Time,City,Destination Postal Code,End Time,Source Location ID,Source Location Name,Destination Location ID,Status,Service Provider ID,Total Ship Unit Count,Update User,Last Update Time,Number of Order Releases,Domain Name
CLP.1084713,1084713,G,/images/icons/system/accepted.gif,/images/icons/system/10_percent.gif,0.08,0,20280557,CLOPAY TRUCK,"GARAGE DOO,GREENVILLE,MS,USA",MS,TRUCK,BOXTRUCK,3,834.82,4.48,170.8,501.27,501.27,2016-11-03 14:29 America/Chicago,,GREENVILLE,38701-7737,2016-11-03 14:29 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-6791-7394,SECURE RESOURCES_ACCEPTED,CAR-200710,89,CLP.INTEGRATION,2016-11-03 17:24 EST5EDT,10,CLP
CLP.1074063,1074063,G,/images/icons/system/accepted.gif,/images/icons/system/10_percent.gif,0.1,0.04,20129633,CLOPAY TRUCK,"GARAGE DOO,GREENVILLE,MS,USA",MS,TRUCK,BOXTRUCK,3,1025.78,42.34,204.5,550.81,550.81,2016-06-16 11:19 America/Chicago,,GREENVILLE,38701-7737,2016-06-16 11:19 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-6791-7394,SECURE RESOURCES_ACCEPTED,CAR-200710,38,CLP.INTEGRATION,2016-06-16 13:29 EST5EDT,5,CLP
CLP.1073122,1073122,G,/images/icons/system/accepted.gif,/images/icons/system/30_percent.gif,0.29,0.06,20116084,CLOPAY TRUCK,"GARAGE DOO,SEARCY,AR,USA",AR,TRUCK,BOXTRUCK,2,2942.09,62.64,120.3,353.68,353.68,2016-06-03 10:40 America/Chicago,,SEARCY,72143-6914,2016-06-03 10:40 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-1195-20081,SECURE RESOURCES_ACCEPTED,CAR-200710,60,CLP.INTEGRATION,2016-06-03 13:27 EST5EDT,4,CLP
CLP.1073960,1073960,G,/images/icons/system/accepted.gif,/images/icons/system/0_percent.gif,0.04,0.01,20128367,CLOPAY TRUCK,"DO IT BEST,SOUTH FULT,TN,USA",TN,TRUCK,BOXTRUCK,4,403.4,12.13,301.8,620.64,620.64,2016-06-15 12:46 America/Chicago,,SOUTH FULTON,38257-2125,2016-06-15 12:46 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-1004-1682,SECURE RESOURCES_ACCEPTED,CAR-200710,26,CLP.INTEGRATION,2016-06-15 23:55 EST5EDT,3,CLP
CLP.1073614,1073614,G,/images/icons/system/accepted.gif,/images/icons/system/20_percent.gif,0.22,0.04,20123668,CLOPAY TRUCK,"LBM ADVANT,HEBER SPRI,AR,USA",AR,TRUCK,BOXTRUCK,3,2223.13,35.41,175,479.95,479.95,2016-06-10 12:08 America/Chicago,,HEBER SPRINGS,72543,2016-06-10 12:08 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-2906841-288808,SECURE RESOURCES_ACCEPTED,CAR-200710,50,CLP.INTEGRATION,2016-06-10 13:39 EST5EDT,4,CLP
CLP.1075540,1075540,G,/images/icons/system/accepted.gif,/images/icons/system/10_percent.gif,0.09,0,20150474,CLOPAY TRUCK,"GARAGE DOO,GREENVILLE,MS,USA",MS,TRUCK,BOXTRUCK,3,899.25,4.2,170.8,501.27,501.27,2016-07-07 12:02 America/Chicago,,GREENVILLE,38701-7737,2016-07-07 12:02 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-6791-7394,SECURE RESOURCES_ACCEPTED,CAR-200710,87,CLP.INTEGRATION,2016-07-07 13:58 EST5EDT,10,CLP
CLP.1076328,1076328,G,/images/icons/system/accepted.gif,/images/icons/system/0_percent.gif,0.03,0,20159333,CLOPAY TRUCK,"GARAGE DOO,SEARCY,AR,USA",AR,TRUCK,BOXTRUCK,2,324.48,2.69,120.3,353.68,353.68,2016-07-15 12:00 America/Chicago,,SEARCY,72143-6914,2016-07-15 12:00 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-1195-20081,SECURE RESOURCES_ACCEPTED,CAR-200710,69,CLP.INTEGRATION,2016-07-15 13:12 EST5EDT,7,CLP
CLP.1076147,1076147,G,/images/icons/system/accepted.gif,/images/icons/system/30_percent.gif,0.27,0.05,,CLOPAY TRUCK,"GARAGE DOO,GREENVILLE,MS,USA",MS,TRUCK,BOXTRUCK,6,2704.49,50.81,353.3,769.54,764.25,2016-07-14 04:38 America/Chicago,,GREENVILLE,38701-7737,2016-07-15 10:15 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-6791-7394,SECURE RESOURCES_ACCEPTED,CAR-200710,33,CLP.INTEGRATION,2016-07-14 12:48 EST5EDT,12,CLP
CLP.1075641,1075641,G,/images/icons/system/accepted.gif,/images/icons/system/10_percent.gif,0.06,0.01,20152250,CLOPAY TRUCK,"HOME DEPOT,MOUNTAIN H,AR,USA",AR,TRUCK,BOXTRUCK,4,649.59,5.71,285.9,743.23,743.23,2016-07-08 14:34 America/Chicago,,MOUNTAIN HOME,72653-9082,2016-07-08 14:34 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-1007-43789,SECURE RESOURCES_ACCEPTED,CAR-200710,49,CLP.INTEGRATION,2016-07-08 16:51 EST5EDT,4,CLP
CLP.1065788,1065788,G,/images/icons/system/accepted.gif,/images/icons/system/20_percent.gif,0.18,0.01,20014862,CLOPAY TRUCK,"GARAGE DOO,SEARCY,AR,USA",AR,TRUCK,BOXTRUCK,2,1768.99,7.87,120.3,495.64,495.64,2016-02-23 08:11 America/Chicago,,SEARCY,72143-6914,2016-02-23 08:11 America/Chicago,ORG-1796-51803,BPC - MEMPHIS DC,CUS-1195-20081,SECURE RESOURCES_ACCEPTED,CAR-200710,91,CLP.RKILARU,2017-05-08 06:01 EST5EDT,11,CLP
